"file","speaker","io_unit","start_time","end_time","pause_duration","io_duration","genre","glottocode","speaker_age","speaker_sex","synthesis","tone","element","sprach_dauer","part"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",107,270.524,272.378,1.182,1.854,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.672,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",108,272.378,273.615,0.801,1.237,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.436,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",109,273.615,275.125,0.37,1.51,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.14,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",110,275.125,276.469,0.289,1.344,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.055,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",111,276.469,278.706,1.264,2.237,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.973,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",112,278.706,280.56,1.209,1.854,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.645,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",113,280.56,285.53,4.439,4.97,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.531,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",114,285.53,289.75,2.802,4.22,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.418,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",115,289.75,290.35,0.16,0.6,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.44,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",116,290.35,292.62,0.3,2.27,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.97,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",117,292.62,294.159,0.192,1.539,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.347,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",118,294.159,296.619,0.045,2.46,"traditional narrative","anal1239",80,"m",NA,"yes","a",2.415,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",121,314.949,316.452,0.607,1.503,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.896,"part16"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",122,316.452,321.252,4.103,4.8,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.697,"part16"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",123,321.252,323.055,0.948,1.803,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.855,"part16"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",124,323.055,324.087,0.394,1.032,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.638,"part16"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",125,324.087,324.823,0.254,0.736,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.482,"part16"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",126,324.823,325.865,0.354,1.042,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.688,"part16"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",127,325.865,330.154,3.443,4.289,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.846,"part16"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",129,330.721,332.137,0.108,1.416,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.308,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",130,332.137,333.941,1.055,1.804,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.749,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",131,333.941,335.32,0.313,1.379,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.066,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",132,335.32,338.515,2.68,3.195,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.515,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",133,338.515,339.86,0.235,1.345,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.11,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",134,339.86,340.795,0.336,0.935,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.599,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",135,340.795,342.679,0.849,1.884,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.035,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",136,342.679,343.675,0.416,0.996,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.58,"part17"
